index,Artist,Track,Album,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,Stream
17386,Dean Lewis,Be Alright,A Place We Knew,0.551,0.537,11.0,-7.595,0.034,0.705,0.0,0.0802,0.493,126.421,196493.0,230880235.0,2225601.0,42423.0,1411301562.0
13952,City Girls,Twerk (feat. Cardi B),Girl Code,0.788,0.842,4.0,-4.006,0.142,0.121,0.00112,0.166,0.481,190.077,166476.0,233575849.0,2222717.0,128035.0,168085686.0
15598,Mon Laferte,Tu Falta De Querer,Mon Laferte (Vol. 1),0.394,0.475,10.0,-7.935,0.028,0.0251,0.00749,0.112,0.441,129.995,278547.0,461673423.0,2222222.0,62208.0,340786329.0
17607,Zé Felipe,Malvada,Malvada,0.894,0.859,5.0,-2.981,0.0471,0.159,0.000153,0.075,0.888,134.947,145854.0,284671760.0,2220942.0,36939.0,141429218.0
2214,Busta Rhymes,I Know What You Want (feat. Flipmode Squad),The Remixes,0.673,0.607,4.0,-8.855,0.219,0.019,0.0,0.0708,0.526,86.055,252360.0,295026831.0,2212839.0,32923.0,27414643.0
1545,John Lennon,Imagine - Ultimate Mix,Imagine (The Ultimate Mixes),0.578,0.339,0.0,-10.686,0.0263,0.924,0.0491,0.0988,0.14,75.661,186213.0,275506191.0,2212368.0,100096.0,27554508.0
16580,Blueface,Thotiana,Famous Cryp,0.906,0.382,10.0,-12.89,0.269,0.18,0.0,0.113,0.391,104.025,129264.0,249073434.0,2210521.0,131069.0,350405270.0
2645,Tech N9ne,Face Off,ASIN9NE,0.693,0.935,8.0,-4.323,0.224,0.18,0.0,0.179,0.391,80.882,219802.0,69482261.0,2206304.0,69398.0,153496615.0
9306,La Factoria,Perdóname,Nuevas Metas,0.67,0.821,9.0,-5.868,0.0334,0.251,0.0,0.199,0.384,94.983,242390.0,502167489.0,2200365.0,70817.0,292395549.0
11739,M.I.A.,Paper Planes,Kala,0.447,0.848,2.0,-6.175,0.222,0.033,7.46e-05,0.65,0.485,172.253,205200.0,253113875.0,2198706.0,130554.0,583946609.0
15898,Of Monsters and Men,Little Talks,My Head Is An Animal,0.457,0.757,1.0,-5.177,0.032,0.0206,0.0,0.146,0.417,102.961,266600.0,342158934.0,2190341.0,86344.0,828553788.0
15734,Zendaya,Replay,Zendaya,0.688,0.723,6.0,-6.682,0.121,0.0416,0.0002,0.302,0.618,140.023,209187.0,213998738.0,2185909.0,141148.0,162778168.0
13739,Mustard,Ballin' (with Roddy Ricch),Perfect Ten,0.809,0.545,7.0,-6.678,0.0735,0.392,0.0,0.151,0.244,97.008,180435.0,263419134.0,2183293.0,43179.0,715346807.0
11918,Estelle,American Boy,Shine,0.693,0.729,0.0,-2.99,0.378,0.171,0.0,0.07,0.521,117.848,284733.0,211412840.0,2172972.0,101350.0,574317946.0
3292,Fergie,M.I.L.F. $,Double Dutchess,0.773,0.706,0.0,-5.709,0.0999,0.00538,0.0148,0.0208,0.693,160.912,162365.0,323083576.0,2163950.0,147898.0,95926020.0
10086,Rekha Bhardwaj,Kabira,Yeh Jawaani Hai Deewani,0.59,0.555,2.0,-6.861,0.0271,0.481,0.0,0.192,0.191,84.027,223460.0,368046093.0,2156743.0,38383.0,106694938.0
14838,Lord Huron,The Night We Met,Strange Trails,0.545,0.366,2.0,-9.51,0.0378,0.969,0.267,0.641,0.1,86.997,208212.0,195164043.0,2150296.0,42550.0,1223356565.0
18257,Ruth B.,Lost Boy,Safe Haven,0.586,0.128,7.0,-9.297,0.0496,0.963,0.0,0.0858,0.371,123.498,276067.0,171300764.0,2126279.0,95397.0,739606597.0
11633,Gurlez Akhtar,Defaulter,Defaulter,0.761,0.846,9.0,-2.393,0.287,0.251,0.0,0.324,0.793,171.996,201745.0,254463718.0,2112003.0,51946.0,11160783.0
8976,Jeet Gannguli,Hamari Adhuri Kahani (Title Track),Hamari Adhuri Kahani (Original Motion Picture Soundtrack),0.223,0.359,0.0,-7.569,0.0312,0.845,0.0,0.133,0.193,73.059,398799.0,229559849.0,2111375.0,72425.0,73396099.0
5642,Men At Work,Down Under,Business As Usual,0.739,0.459,11.0,-14.42,0.0294,0.129,0.0194,0.0474,0.892,107.115,222320.0,334023861.0,2109998.0,74635.0,597510470.0
15187,Shilpi Raj,Le Le Aayi Coca Cola,Le Le Aayi Coca Cola,0.716,0.962,5.0,0.561,0.101,0.357,9.61e-06,0.189,0.857,114.993,277569.0,327570837.0,2109990.0,107962.0,3667356.0
9830,Diljit Dosanjh,Born to Shine,G.O.A.T.,0.745,0.826,6.0,-4.339,0.0866,0.357,0.0,0.302,0.674,90.149,213333.0,215110720.0,2108215.0,70500.0,56168905.0
1018,Johnny Cash,Hurt,American IV: The Man Comes Around,0.534,0.392,9.0,-7.636,0.0267,0.649,0.000227,0.0948,0.163,90.379,216533.0,187286218.0,2102982.0,74007.0,518524112.0
619,Bob Marley & The Wailers,Could You Be Loved,Uprising,0.916,0.72,0.0,-8.548,0.1,0.36,0.00016,0.0958,0.76,103.312,237000.0,325433542.0,2096610.0,53613.0,617214277.0
20054,Cris Mj,Una Noche en Medellín,Una Noche en Medellín,0.87,0.548,10.0,-5.253,0.077,0.0924,4.6e-05,0.0534,0.832,96.018,153750.0,261795094.0,2092993.0,31814.0,534190352.0
7331,Kendo Kaponi,Delincuente,Gangalee,0.655,0.858,0.0,-5.607,0.315,0.53,0.0,0.344,0.65,83.489,396120.0,296152037.0,2087949.0,54162.0,148862273.0
4922,Himesh Reshammiya,Hookah Bar,Khiladi 786,0.73,0.656,11.0,-5.07,0.0294,0.00797,0.00271,0.108,0.743,131.04,254351.0,398876627.0,2083222.0,41703.0,44354111.0
14060,Playboi Carti,Magnolia,Playboi Carti,0.791,0.582,11.0,-7.323,0.286,0.0114,0.0,0.35,0.443,162.991,181812.0,177983873.0,2081766.0,73466.0,624453095.0
18270,PNL,Au DD,Deux frères,0.777,0.698,6.0,-7.706,0.0704,0.293,2.32e-05,0.0908,0.119,119.963,247161.0,218478464.0,2080213.0,136102.0,179599521.0
2695,Mary J. Blige,Family Affair,No More Drama,0.911,0.551,8.0,-3.75,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,265867.0,414588236.0,2079943.0,31831.0,319662226.0
17339,Marília Mendonça,Esqueça-Me Se For Capaz,Festa das Patroas 35%,0.799,0.685,6.0,-5.366,0.0725,0.276,0.0,0.13,0.623,122.013,169059.0,168395938.0,2078878.0,44120.0,233735996.0
3854,TLC,No Scrubs,Fanmail,0.743,0.675,8.0,-4.267,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400.0,353863032.0,2071248.0,65174.0,772565675.0
9756,Natalia Lafourcade,Hasta la Raíz,Hasta la Raíz (Edición Especial),0.585,0.643,3.0,-8.392,0.0395,0.201,0.000306,0.144,0.592,152.98,221800.0,345396120.0,2071177.0,37133.0,429544720.0
858,Plan B,Es un Secreto,House Of Pleasure,0.841,0.783,6.0,-4.915,0.0432,0.106,2.49e-06,0.0528,0.514,94.989,190560.0,403129581.0,2069220.0,51057.0,393475189.0
9957,Seether,Broken,Disclaimer II,0.448,0.61,3.0,-2.695,0.0342,0.0102,0.000491,0.135,0.214,123.762,258333.0,328808970.0,2062286.0,54476.0,228828685.0
12050,Ne-Yo,Miss Independent,Year Of The Gentleman (Bonus Track Edition),0.673,0.683,1.0,-5.693,0.115,0.522,0.0,0.235,0.713,171.86,232000.0,454232743.0,2060473.0,48948.0,475108514.0
16843,Niska,Réseaux,Commando,0.795,0.668,1.0,-6.463,0.244,0.161,0.0,0.127,0.349,150.093,196453.0,356382676.0,2052934.0,97376.0,136546345.0
16410,Dadju,Meleğim,Vintage,0.682,0.697,3.0,-4.276,0.0757,0.188,0.0,0.334,0.57,95.012,220280.0,278915479.0,2046544.0,93175.0,126916900.0
19446,Ryan Castro,Jordan,Jordan,0.796,0.68,10.0,-5.555,0.37,0.0575,0.000683,0.103,0.71,179.923,176143.0,377865126.0,2041744.0,51101.0,347935894.0
1749,Gwen Stefani,Hollaback Girl,Love Angel Music Baby (Deluxe Version),0.926,0.916,10.0,-2.221,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,199853.0,260080572.0,2036467.0,68968.0,486700432.0
19573,42 Dugg,We Paid (feat. 42 Dugg),My Turn (Deluxe),0.926,0.542,1.0,-5.064,0.293,0.135,0.0,0.0877,0.564,135.14,181929.0,351144301.0,2032102.0,71964.0,316621122.0
2077,Enya,Only Time,A Day Without Rain,0.418,0.249,3.0,-13.744,0.0301,0.841,0.661,0.112,0.213,82.803,218547.0,227541008.0,2030885.0,95284.0,247417162.0
11593,Trey Songz,Na Na,Trigga,0.67,0.476,9.0,-6.253,0.0406,0.328,0.0,0.104,0.235,96.975,231907.0,305771662.0,2025727.0,32466.0,258661357.0
